"cell50x50","SR_forest_ebba1","SR_agriculture_ebba1","SR_generalist_ebba1","SR_forest_ebba2","SR_agriculture_ebba2","SR_generalist_ebba2","deltaSR_bird_forest","deltaSR_bird_agriculture","deltaSR_bird_generalist","SR_forest_m_b2000","SR_agriculture_m_b2000","SR_generalist_m_b2000","SR_forest_m_a2015","SR_agriculture_m_a2015","SR_generalist_m_a2015","deltaSR_mammal_forest","deltaSR_mammal_agriculture","deltaSR_mammal_generalist"
"33VWE3",37,33,83,43,35,88,6,2,5,9,NA,14,13,1,28,4,NA,14
"33VWE4",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,16,14,NA,26,7,NA,10
"33VWF1",36,30,76,45,36,85,9,6,9,11,1,22,16,1,29,5,0,7
"33VWF2",34,27,70,42,33,77,8,6,7,8,NA,11,13,1,23,5,NA,12
"33VWF3",32,28,73,45,35,81,13,7,8,9,NA,14,13,1,29,4,NA,15
"33VWF4",35,27,71,46,35,79,11,8,8,7,NA,12,14,1,28,7,NA,16
"33VWG1",36,26,70,45,33,80,9,7,10,10,NA,17,15,NA,23,5,NA,6
"33VWG2",37,24,72,44,30,76,7,6,4,10,NA,16,14,NA,23,4,NA,7
"33VWG3",40,25,68,43,32,81,3,7,13,5,NA,13,11,1,23,6,NA,10
"33VWG4",37,33,75,46,37,85,9,4,10,9,NA,12,17,1,29,8,NA,17
"33VWH1",37,20,67,41,22,72,4,2,5,4,NA,7,6,NA,15,2,NA,8
"33VWH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,8,14,1,25,5,0,17
"33VWH3",35,24,71,44,31,76,9,7,5,1,1,12,10,1,17,9,0,5
"33VWH4",35,22,66,43,32,76,8,10,10,6,NA,9,12,1,23,6,NA,14
"33VWJ1",37,21,69,36,28,62,-1,7,-7,3,NA,11,7,NA,15,4,NA,4
"33VWJ2",38,24,74,43,29,72,5,5,-2,3,NA,4,4,NA,14,1,NA,10
"33VWJ3",36,24,72,41,30,76,5,6,4,5,NA,8,8,NA,18,3,NA,10
"33VWJ4",36,25,74,41,30,79,5,5,5,7,NA,10,6,1,17,-1,NA,7
"33VWK1",37,17,63,40,17,58,3,0,-5,3,NA,9,9,NA,15,6,NA,6
"33VWK2",37,21,66,40,20,66,3,-1,0,2,NA,7,9,1,15,7,NA,8
"33VWK3",37,17,67,39,21,62,2,4,-5,2,NA,5,7,1,18,5,NA,13
"33VWK4",37,19,67,42,25,67,5,6,0,3,NA,5,8,NA,17,5,NA,12
"33VWL1",37,19,63,41,26,64,4,7,1,1,NA,8,8,1,17,7,NA,9
"33VWL2",37,19,64,40,23,65,3,4,1,1,NA,3,6,1,15,5,NA,12
"33VWL3",38,22,65,32,17,52,-6,-5,-13,1,NA,6,6,NA,12,5,NA,6
"33VWL4",38,21,70,35,17,64,-3,-4,-6,2,NA,6,6,1,15,4,NA,9
"33VXD2",29,35,78,38,39,87,9,4,9,7,NA,14,10,1,22,3,NA,8
"33VXF1",33,28,72,46,36,79,13,8,7,13,NA,21,13,1,28,0,NA,7
"33VXF2",35,30,80,46,36,92,11,6,12,8,1,18,13,1,29,5,0,11
"33VXF3",37,31,77,42,34,81,5,3,4,17,2,28,16,2,29,-1,0,1
"33VXF4",35,28,81,39,37,86,4,9,5,12,NA,20,14,1,23,2,NA,3
"33VXG1",39,29,76,47,36,85,8,7,9,10,1,18,16,1,26,6,0,8
"33VXG2",36,30,74,45,37,85,9,7,11,13,1,22,17,1,28,4,0,6
"33VXH1",36,30,80,39,35,75,3,5,-5,2,NA,5,12,NA,20,10,NA,15
"33VXH2",41,33,81,46,37,93,5,4,12,5,NA,12,10,1,24,5,NA,12
"33VXJ1",35,27,75,42,35,87,7,8,12,5,NA,9,9,NA,15,4,NA,6
"33VXJ2",35,27,78,41,36,84,6,9,6,4,NA,7,8,NA,16,4,NA,9
"33VXK1",37,27,71,44,33,76,7,6,5,2,NA,8,10,1,19,8,NA,11
"33VXK2",42,34,84,45,37,89,3,3,5,6,NA,15,12,1,20,6,NA,5
"33VXL1",37,20,68,28,17,53,-9,-3,-15,2,NA,3,4,NA,10,2,NA,7
"33VXL2",37,21,68,41,27,72,4,6,4,1,NA,7,6,1,15,5,NA,8
"33WUM3",32,18,49,34,19,54,2,1,5,3,NA,16,5,NA,15,2,NA,-1
"33WUM4",35,18,58,33,18,61,-2,0,3,5,1,18,6,1,16,1,0,-2
"33WUN3",19,24,61,22,24,53,3,0,-8,2,1,11,6,NA,10,4,NA,-1
"33WUN4",25,19,55,25,20,53,0,1,-2,3,NA,9,5,NA,12,2,NA,3
"33WUP4",20,24,64,29,28,66,9,4,2,1,1,12,3,1,14,2,0,2
"33WVM1",32,22,60,29,22,62,-3,0,2,4,NA,12,7,NA,18,3,NA,6
"33WVM2",33,19,64,34,22,59,1,3,-5,6,NA,17,7,NA,17,1,NA,0
"33WVM3",33,23,60,31,23,55,-2,0,-5,6,NA,10,8,NA,15,2,NA,5
"33WVM4",34,23,63,38,27,64,4,4,1,3,NA,9,4,NA,14,1,NA,5
"33WVN1",24,11,43,23,17,48,-1,6,5,6,1,13,6,NA,14,0,NA,1
"33WVN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,14,5,NA,12,1,NA,-2
"33WVN3",29,18,56,26,17,52,-3,-1,-4,7,NA,15,8,NA,17,1,NA,2
"33WVN4",32,20,58,26,23,64,-6,3,6,3,NA,8,8,NA,15,5,NA,7
"33WVP1",20,19,58,26,22,59,6,3,1,3,1,16,7,1,17,4,0,1
"33WVP2",30,26,70,32,27,71,2,1,1,5,1,14,5,NA,14,0,NA,0
"33WVP3",35,30,72,32,26,62,-3,-4,-10,6,1,16,7,NA,17,1,NA,1
"33WVP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,13,5,NA,13,-2,NA,0
"33WVQ2",24,23,65,31,27,64,7,4,-1,1,NA,9,6,1,14,5,NA,5
"33WVQ3",21,26,67,29,28,61,8,2,-6,3,NA,11,6,1,14,3,NA,3
"33WVQ4",27,20,63,28,23,64,1,3,1,5,NA,12,8,NA,13,3,NA,1
"33WVR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,4,NA,NA,3
"33WWM1",37,22,65,31,22,63,-6,0,-2,2,NA,1,4,NA,10,2,NA,9
"33WWM2",36,18,61,36,22,55,0,4,-6,5,NA,13,6,NA,17,1,NA,4
"33WWM3",37,18,69,42,24,67,5,6,-2,3,NA,8,4,NA,15,1,NA,7
"33WWM4",37,20,69,39,21,63,2,1,-6,3,NA,5,7,NA,16,4,NA,11
"33WWN1",34,24,65,32,19,55,-2,-5,-10,3,NA,9,5,1,9,2,NA,0
"33WWN2",35,24,63,36,21,60,1,-3,-3,4,NA,1,6,NA,15,2,NA,14
"33WWN3",37,21,68,38,15,53,1,-6,-15,4,NA,7,5,NA,8,1,NA,1
"33WWN4",38,20,68,37,20,63,-1,0,-5,1,NA,2,5,NA,12,4,NA,10
"33WWP1",21,22,56,17,21,49,-4,-1,-7,4,NA,9,5,NA,8,1,NA,-1
"33WWP2",24,25,60,29,25,62,5,0,2,4,NA,12,5,NA,12,1,NA,0
"33WWP3",31,27,60,28,14,57,-3,-13,-3,4,NA,7,5,NA,13,1,NA,6
"33WWP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,12,6,NA,15,-2,NA,3
"33WWQ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,16,7,1,14,2,NA,-2
"33WWQ2",28,25,70,32,28,68,4,3,-2,7,NA,12,7,NA,16,0,NA,4
"33WWQ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,2,NA,7,0,NA,0
"33WWQ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,NA,6,1,NA,4
"33WWR1",20,17,51,24,21,55,4,4,4,2,1,12,8,NA,16,6,NA,4
"33WWR2",27,19,56,24,20,47,-3,1,-9,2,NA,8,7,1,10,5,NA,2
"33WWR3",24,22,58,23,26,63,-1,4,5,5,NA,12,7,NA,12,2,NA,0
"33WWR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,3,NA,3,-1,NA,-1
"33WWS3",18,24,59,21,18,52,3,-6,-7,3,NA,12,4,NA,11,1,NA,-1
"33WWS4",23,24,59,28,23,69,5,-1,10,2,NA,12,7,1,12,5,NA,0
"33WXM1",36,19,67,33,21,55,-3,2,-12,1,NA,1,5,NA,11,4,NA,10
"33WXM2",37,20,68,38,17,61,1,-3,-7,4,NA,5,3,NA,12,-1,NA,7
"33WXN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,7,5,NA,8,3,NA,1
"33WXN2",37,19,65,35,17,58,-2,-2,-7,2,NA,6,4,NA,12,2,NA,6
"33WXP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,5,NA,NA,4
"33WXP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,9,2,NA,7,-3,NA,-2
"33WXQ1",26,20,53,24,20,54,-2,0,1,7,NA,11,4,NA,6,-3,NA,-5
"33WXQ2",33,27,60,28,14,45,-5,-13,-15,9,NA,10,4,NA,7,-5,NA,-3
"33WXR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,16,6,NA,10,-1,NA,-6
"33WXR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,2,NA,6,1,NA,0
"33WXS2",11,17,51,21,15,45,10,-2,-6,6,NA,13,7,1,13,1,NA,0
"34SBK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,NA,NA,5
"34SCK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,NA,NA,NA
"34SDH3",9,14,43,14,16,53,5,2,10,NA,NA,NA,1,1,6,NA,NA,NA
"34SDJ1",22,28,67,23,28,76,1,0,9,NA,NA,1,2,1,8,NA,NA,7
"34SDJ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"34SDJ3",27,25,78,23,21,59,-4,-4,-19,NA,NA,1,2,NA,10,NA,NA,9
"34SDJ4",23,33,83,14,28,68,-9,-5,-15,NA,NA,NA,1,NA,5,NA,NA,NA
"34SDK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"34SDK4",36,22,72,30,22,68,-6,0,-4,1,1,3,4,NA,11,3,NA,8
"34SEF3",9,19,51,7,15,46,-2,-4,-5,NA,1,NA,NA,1,3,NA,0,NA
"34SEG1",6,15,41,5,18,48,-1,3,7,NA,1,1,NA,NA,1,NA,NA,0
"34SEG3",22,18,52,16,14,56,-6,-4,4,NA,1,1,NA,NA,8,NA,NA,7
"34SEG4",14,14,48,15,11,41,1,-3,-7,NA,NA,1,NA,1,7,NA,NA,6
"34SEH1",20,30,71,18,25,69,-2,-5,-2,NA,NA,NA,2,NA,2,NA,NA,NA
"34SEH2",14,26,61,12,25,62,-2,-1,1,NA,NA,1,NA,NA,3,NA,NA,2
"34SEH3",23,23,62,20,16,50,-3,-7,-12,NA,NA,1,2,NA,2,NA,NA,1
"34SEH4",20,22,57,22,19,67,2,-3,10,1,1,1,1,NA,4,0,NA,3
"34SEJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,2,1,NA,1
"34SEJ2",23,26,75,15,20,65,-8,-6,-10,NA,NA,NA,NA,NA,2,NA,NA,NA
"34SEJ3",30,23,72,26,22,61,-4,-1,-11,NA,NA,NA,2,NA,5,NA,NA,NA
"34SEJ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA
"34SEK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,5,0,NA,3
"34SEK4",28,22,64,27,14,52,-1,-8,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34SFF1",22,22,60,23,14,55,1,-8,-5,NA,NA,2,1,NA,7,NA,NA,5
"34SFF2",9,12,27,6,9,33,-3,-3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34SFF3",13,17,41,11,11,42,-2,-6,1,NA,NA,NA,NA,1,1,NA,NA,NA
"34SFF4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1
"34SFG1",21,25,57,22,21,62,1,-4,5,1,NA,2,2,NA,8,1,NA,6
"34SFG2",26,18,56,22,16,56,-4,-2,0,NA,NA,1,1,NA,3,NA,NA,2
"34SFG3",12,16,45,9,14,48,-3,-2,3,NA,NA,NA,NA,1,6,NA,NA,NA
"34SFG4",18,12,43,12,13,45,-6,1,2,NA,1,1,NA,NA,4,NA,NA,3
"34SFH1",31,26,71,33,26,76,2,0,5,1,NA,5,1,NA,6,0,NA,1
"34SFH2",18,18,48,23,19,59,5,1,11,NA,NA,6,1,NA,2,NA,NA,-4
"34SFH3",20,27,52,13,18,47,-7,-9,-5,1,1,2,1,NA,7,0,NA,5
"34SFH4",12,17,41,13,16,51,1,-1,10,NA,NA,1,NA,NA,3,NA,NA,2
"34SFJ1",17,19,52,15,18,52,-2,-1,0,NA,NA,NA,NA,NA,3,NA,NA,NA
"34SFJ2",23,28,70,27,27,79,4,-1,9,2,NA,3,NA,NA,2,NA,NA,-1
"34SFJ3",18,21,56,24,24,74,6,3,18,NA,NA,1,3,NA,8,NA,NA,7
"34SFJ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,8,NA,NA,NA
"34SFK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,4,1,NA,3
"34SGG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,1,5,1,NA,4
"34SGG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"34SGH1",12,17,46,14,13,45,2,-4,-1,NA,1,NA,1,NA,1,NA,NA,NA
"34SGH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,2,2,12,0,1,9
"34SGJ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,10,NA,NA,NA
"34SGK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"34TBK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8,NA,NA,NA
"34TBM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"34TBN3",19,18,47,19,19,61,0,1,14,6,2,8,NA,NA,2,NA,NA,-6
"34TBN4",33,25,64,25,23,63,-8,-2,-1,5,3,9,8,1,29,3,-2,20
"34TBP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,15,2,NA,8,-4,NA,-7
"34TBP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,12,NA,NA,7,NA,NA,-5
"34TBQ3",22,19,72,23,23,70,1,4,-2,NA,1,12,NA,NA,4,NA,NA,-8
"34TBQ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,0,NA,NA
"34TBR3",31,26,86,28,21,81,-3,-5,-5,4,4,10,1,1,4,-3,-3,-6
"34TBR4",24,19,65,25,22,77,1,3,12,2,3,12,1,NA,12,-1,NA,0
"34TCK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,8,NA,NA,7
"34TCL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA
"34TCL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"34TCM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,10,8,2,33,4,-1,23
"34TCM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"34TCM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,21,NA,0,20
"34TCM4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,3,1,16,1,-2,11
"34TCN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,13,8,1,23,3,-4,10
"34TCN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,8,7,2,27,2,-2,19
"34TCN3",35,17,66,42,17,61,7,0,-5,3,2,10,6,2,22,3,0,12
"34TCN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,12,10,2,28,4,-3,16
"34TCP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,NA,1,-2,NA,-1
"34TCP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,12,12,1,17,8,-1,5
"34TCP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,11,1,1,7,-5,-3,-4
"34TCP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,1,1,7,-2,-3,3
"34TCQ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,NA,NA,6,NA,NA,0
"34TCQ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,1,NA,3,-1,NA,-2
"34TCQ3",28,20,70,31,19,82,3,-1,12,4,4,8,1,1,7,-3,-3,-1
"34TCQ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,9,3,NA,5,0,NA,-4
"34TCR1",24,26,83,33,29,87,9,3,4,5,5,13,3,NA,14,-2,NA,1
"34TCR2",20,15,60,26,20,73,6,5,13,4,5,14,2,NA,13,-2,NA,-1
"34TCR3",20,25,75,18,28,71,-2,3,-4,2,6,14,NA,NA,7,NA,NA,-7
"34TCR4",28,24,74,29,25,84,1,1,10,3,4,12,2,NA,9,-1,NA,-3
"34TCS1",25,25,78,33,30,90,8,5,12,NA,1,2,1,NA,7,NA,NA,5
"34TCS2",27,22,76,31,26,78,4,4,2,NA,NA,NA,3,NA,4,NA,NA,NA
"34TCS3",24,29,77,27,31,89,3,2,12,NA,1,6,2,2,9,NA,1,3
"34TCS4",23,27,74,26,28,84,3,1,10,NA,4,2,2,1,12,NA,-3,10
"34TCT1",30,30,86,39,27,89,9,-3,3,5,2,14,9,1,22,4,-1,8
"34TCT2",27,28,87,32,33,95,5,5,8,NA,NA,8,1,1,12,NA,NA,4
"34TCT3",28,21,74,35,27,83,7,6,9,3,NA,11,5,2,14,2,NA,3
"34TCT4",23,28,74,30,33,89,7,5,15,NA,NA,1,NA,1,11,NA,NA,10
"34TDK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,4,1,NA,3
"34TDK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA
"34TDL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8,NA,NA,NA
"34TDL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA
"34TDL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,10,5,NA,7,1,NA,-3
"34TDL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,8,3,NA,6,-1,NA,-2
"34TDM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA
"34TDM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"34TDM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,15,1,NA,9,-5,NA,-6
"34TDM4",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,15,2,NA,7,-5,NA,-8
"34TDN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,1,1,11,-4,-1,7
"34TDN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,13,12,3,31,6,-1,18
"34TDN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,10,NA,NA,6,NA,NA,-4
"34TDN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,NA,NA,8,NA,NA,3
"34TDP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,1,NA,7,-2,NA,1
"34TDP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,NA,8,-2,NA,5
"34TDP3",26,15,60,23,16,62,-3,1,2,4,2,5,2,NA,8,-2,NA,3
"34TDP4",24,18,62,36,14,62,12,-4,0,4,3,11,1,NA,8,-3,NA,-3
"34TDQ1",26,25,80,29,29,82,3,4,2,5,6,13,3,NA,18,-2,NA,5
"34TDQ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,12,NA,NA,8,NA,NA,-4
"34TDQ3",24,25,79,29,28,91,5,3,12,5,7,13,1,2,14,-4,-5,1
"34TDQ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,12,1,NA,8,-4,NA,-4
"34TDR1",23,34,84,22,35,80,-1,1,-4,NA,5,13,NA,1,6,NA,-4,-7
"34TDR2",30,32,95,37,35,96,7,3,1,4,6,14,3,2,12,-1,-4,-2
"34TDR3",20,28,69,18,28,75,-2,0,6,NA,3,4,NA,NA,2,NA,NA,-2
"34TDR4",26,36,92,22,28,80,-4,-8,-12,NA,4,8,1,1,5,NA,-3,-3
"34TDS1",24,29,82,29,34,92,5,5,10,1,NA,2,1,1,6,0,NA,4
"34TDS2",25,32,86,29,36,98,4,4,12,NA,6,10,1,NA,9,NA,NA,-1
"34TDS3",17,27,71,23,27,76,6,0,5,NA,NA,NA,NA,1,6,NA,NA,NA
"34TDS4",19,27,74,26,34,87,7,7,13,NA,NA,NA,NA,2,6,NA,NA,NA
"34TDT1",26,23,72,31,27,80,5,4,8,2,NA,4,2,1,10,0,NA,6
"34TDT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,8,NA,NA,7
"34TDT3",23,35,87,29,37,94,6,2,7,NA,2,5,2,1,12,NA,-1,7
"34TDT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,8,NA,NA,7
"34TEK1",32,29,90,30,25,83,-2,-4,-7,NA,1,2,1,NA,5,NA,NA,3
"34TEK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,9,NA,NA,6
"34TEL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,7,1,NA,1,-3,NA,-6
"34TEL2",38,35,95,42,40,102,4,5,7,6,3,16,5,1,15,-1,-2,-1
"34TEL3",30,21,67,39,22,79,9,1,12,2,3,10,NA,NA,3,NA,NA,-7
"34TEL4",32,35,93,37,23,86,5,-12,-7,2,3,3,2,1,4,0,-2,1
"34TEM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,11,2,1,5,-4,-2,-6
"34TEM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,6,1,1,4,-5,-3,-2
"34TEM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,NA,1,1,NA,-3,-4
"34TEM4",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,10,NA,NA,NA,NA,NA,NA
"34TEN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,8,1,NA,1,-2,NA,-7
"34TEN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,3,NA,8,0,NA,3
"34TEN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,1,1,4,-3,-2,-2
"34TEN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,9,2,1,2,-2,-1,-7
"34TEP1",24,18,54,27,16,71,3,-2,17,2,3,5,2,NA,11,0,NA,6
"34TEP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,7,1,NA,13,-2,NA,6
"34TEP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,11,1,NA,4,-4,NA,-7
"34TEP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,1,4,-1,-1,2
"34TEQ1",30,28,91,38,30,99,8,2,8,4,7,13,1,2,7,-3,-5,-6
"34TEQ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,NA,3,0,NA,-1
"34TEQ3",25,18,63,30,17,66,5,-1,3,NA,NA,NA,2,NA,5,NA,NA,NA
"34TEQ4",24,15,64,36,14,70,12,-1,6,6,3,10,4,NA,2,-2,NA,-8
"34TER1",20,22,67,29,20,75,9,-2,8,NA,NA,NA,1,2,4,NA,NA,NA
"34TER2",17,21,59,24,25,74,7,4,15,NA,3,12,NA,NA,2,NA,NA,-10
"34TER3",18,19,64,28,20,63,10,1,-1,NA,NA,NA,NA,NA,2,NA,NA,NA
"34TER4",22,18,61,35,15,58,13,-3,-3,NA,NA,NA,2,NA,10,NA,NA,NA
"34TES1",23,29,75,28,33,89,5,4,14,NA,NA,1,1,NA,3,NA,NA,2
"34TES2",18,24,66,26,26,76,8,2,10,NA,NA,NA,NA,1,2,NA,NA,NA
"34TES3",23,29,68,29,26,78,6,-3,10,1,NA,3,NA,NA,3,NA,NA,0
"34TES4",23,19,60,30,22,65,7,3,5,NA,NA,1,NA,NA,1,NA,NA,0
"34TET1",23,32,79,29,37,97,6,5,18,NA,1,5,3,3,15,NA,2,10
"34TET2",18,29,75,27,36,90,9,7,15,NA,NA,1,NA,1,10,NA,NA,9
"34TET3",21,23,74,28,29,83,7,6,9,NA,NA,1,2,NA,7,NA,NA,6
"34TET4",18,28,70,28,30,84,10,2,14,1,2,5,NA,1,3,NA,-1,-2
"34TFK1",34,37,91,31,29,83,-3,-8,-8,NA,NA,1,1,1,7,NA,NA,6
"34TFK3",17,31,73,22,30,73,5,-1,0,NA,NA,1,1,3,10,NA,NA,9
"34TFL1",30,25,81,30,23,86,0,-2,5,7,5,15,NA,NA,9,NA,NA,-6
"34TFL2",27,25,73,23,20,72,-4,-5,-1,NA,NA,NA,NA,2,2,NA,NA,NA
"34TFL3",38,35,95,49,36,103,11,1,8,4,3,15,4,1,16,0,-2,1
"34TFL4",23,30,76,24,23,68,1,-7,-8,NA,NA,3,3,1,13,NA,NA,10
"34TFM1",32,20,69,43,26,82,11,6,13,5,3,9,NA,NA,3,NA,NA,-6
"34TFM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,11,NA,NA,2,NA,NA,-9
"34TFM3",42,27,90,50,27,88,8,0,-2,6,4,12,2,NA,9,-4,NA,-3
"34TFM4",43,30,85,49,24,83,6,-6,-2,6,4,17,2,NA,8,-4,NA,-9
"34TFN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,11,NA,NA,NA,NA,NA,NA
"34TFN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,11,1,1,4,-3,-4,-7
"34TFN3",34,26,85,46,28,96,12,2,11,7,5,12,3,NA,7,-4,NA,-5
"34TFN4",42,31,86,46,29,93,4,-2,7,6,5,15,3,NA,15,-3,NA,0
"34TFP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,9,1,NA,NA,-2,NA,NA
"34TFP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,11,1,NA,5,-5,NA,-6
"34TFP3",19,29,70,22,27,85,3,-2,15,NA,1,2,1,1,2,NA,0,0
"34TFP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,10,NA,1,2,NA,-3,-8
"34TFQ1",26,10,52,29,15,58,3,5,6,1,NA,2,2,NA,2,1,NA,0
"34TFQ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,2,NA,7,-1,NA,2
"34TFQ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,1,-1,NA,0
