"polygon_id","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","delta_forest_sp","delta_agriculture_sp","delta_generalist_sp"
"1_086",365890000,1479860000,10260000,96060000,547930000,2.5e+09,32,31,75,138,427510000,1482570000,22830000,64480000,502610000,2.5e+09,29,16,79,124,-3,-15,4
"1_087",239430000,421440000,58090000,957900000,823140000,2.5e+09,32,20,56,108,331760000,278140000,73720000,1108090000,708290000,2.5e+09,11,19,49,79,-21,-1,-7
"1_088",70130000,664930000,31140000,8.93e+08,840800000,2.5e+09,32,18,50,100,94130000,438020000,47510000,1095650000,824690000,2.5e+09,8,12,39,59,-24,-6,-11
"1_089",53260000,288930000,36700000,1678860000,442250000,2.5e+09,30,17,45,92,117750000,243400000,40320000,1722590000,375940000,2.5e+09,6,14,37,57,-24,-3,-8
"1_090",25630000,615480000,380160000,943780000,534950000,2.5e+09,32,18,55,105,32940000,533740000,444530000,943570000,545220000,2.5e+09,14,14,46,74,-18,-4,-9
"1_091",131530000,2240000,540000,246510000,2119180000,2.5e+09,32,24,54,110,147650000,0,2210000,279380000,2070760000,2.5e+09,12,20,43,75,-20,-4,-11
"1_092",279420000,1510530000,24200000,316700000,369150000,2.5e+09,36,38,77,151,577890000,1255140000,34650000,355410000,276910000,2.5e+09,30,21,73,124,-6,-17,-4
"1_093",177720000,1765650000,6100000,275440000,275090000,2.5e+09,29,24,59,112,159010000,1779690000,9710000,2.83e+08,268590000,2.5e+09,19,13,62,94,-10,-11,3
"1_094",350550000,1022860000,5640000,4.81e+08,639950000,2.5e+09,33,29,70,132,308990000,990360000,13390000,500240000,687020000,2.5e+09,28,21,74,123,-5,-8,4
"1_095",48390000,1637350000,19100000,575030000,220130000,2.5e+09,33,31,77,141,49430000,1677780000,40800000,525660000,206330000,2.5e+09,30,20,73,123,-3,-11,-4
"1_096",314940000,1306160000,11060000,181790000,686050000,2.5e+09,35,35,79,149,347420000,1258790000,26480000,263550000,603760000,2.5e+09,34,22,84,140,-1,-13,5
"1_097",305690000,1269610000,10680000,44370000,869650000,2.5e+09,28,32,65,125,386470000,1199360000,29100000,83130000,801940000,2.5e+09,25,16,70,111,-3,-16,5
"1_098",104330000,64350000,75100000,6800000,1823710000,2074290000,26,21,49,96,132320000,42870000,117060000,39200000,1742840000,2074290000,21,9,52,82,-5,-12,3
"1_099",114180000,1325100000,101850000,71710000,887160000,2.5e+09,32,31,74,137,117970000,1122780000,149450000,65290000,1044510000,2.5e+09,31,22,81,134,-1,-9,7
"1_100",20010000,2390150000,19860000,20380000,49600000,2.5e+09,35,27,59,121,14980000,2381280000,28180000,38270000,37290000,2.5e+09,16,14,54,84,-19,-13,-5
