"Forest","Agriculture","Urban","Grassland","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
109590000,1481330000,446270000,414070000,48740000,2.5e+09,33,86,119
36860000,1559950000,361430000,514200000,27560000,2.5e+09,30,78,108
48890000,2257940000,114690000,63880000,14600000,2.5e+09,29,72,101
74690000,2035210000,214740000,123700000,51660000,2.5e+09,31,83,114
52700000,2089500000,177100000,145860000,34840000,2.5e+09,34,78,112
118870000,1742210000,431660000,114210000,93050000,2.5e+09,34,94,128
74940000,2000780000,173890000,157780000,92610000,2.5e+09,28,65,93
222060000,982270000,46070000,382550000,867050000,2.5e+09,35,90,125
104700000,1307400000,71110000,831160000,185630000,2.5e+09,43,104,147
160620000,1698020000,124810000,493570000,22980000,2.5e+09,34,91,125
158520000,968580000,53480000,1299720000,19700000,2.5e+09,38,86,124
137920000,1237830000,80800000,1032900000,10550000,2.5e+09,38,90,128
41770000,298870000,39660000,378870000,1708870000,2468040000,42,98,140
71800000,784060000,92630000,1330750000,220760000,2.5e+09,38,93,131
18020000,478440000,108590000,206610000,1469380000,2281040000,37,104,141
189150000,1187060000,120420000,985850000,17520000,2.5e+09,34,90,124
353710000,1031730000,59660000,1029490000,25410000,2.5e+09,39,89,128
334790000,1120310000,126690000,901050000,17160000,2.5e+09,32,89,121
284210000,15030000,2390000,421780000,1776590000,2.5e+09,32,81,113
317960000,16760000,1550000,430400000,1733330000,2.5e+09,36,86,122
243870000,5100000,3240000,635950000,1611840000,2.5e+09,34,81,115
92800000,1880000,2730000,188740000,2213850000,2.5e+09,26,66,92
121610000,10600000,340000,141400000,2226050000,2.5e+09,29,80,109
357390000,18840000,5320000,293290000,1825160000,2.5e+09,33,82,115
13100000,1550000,0,174490000,2266910000,2456050000,29,68,97
86400000,1910000,1010000,191280000,2219400000,2.5e+09,30,68,98
263370000,42880000,3870000,499720000,1690160000,2.5e+09,35,87,122
366320000,337580000,108740000,1000480000,686880000,2.5e+09,33,88,121
305960000,765190000,71380000,648770000,708700000,2.5e+09,35,84,119
