"cell50x50","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","delta_SR","delta_occ_m"
"35TMK4",NA,2,3,NA,NA,NA
"35TML1",1,15,154,1,14,153
"35TML2",NA,12,85,NA,NA,NA
"35TML3",NA,16,97,NA,NA,NA
"35TML4",1,7,22,1,6,21
"35TMM1",NA,4,15,NA,NA,NA
"35TMM2",NA,12,71,NA,NA,NA
"35TMM3",NA,8,19,NA,NA,NA
"35TMM4",NA,4,7,NA,NA,NA
"35TMN1",NA,5,9,NA,NA,NA
"35TMN2",NA,7,14,NA,NA,NA
"35TMN3",NA,9,30,NA,NA,NA
"35TMN4",NA,3,4,NA,NA,NA
"35TNG1",56,15,40,20,-5,-16
"35TNG2",8,13,125,8,5,117
"35TNG3",103,31,107,28,3,4
"35TNG4",16,4,5,15,-11,-11
"35TNH1",93,12,15,20,-8,-78
"35TNH2",38,14,89,22,-8,51
"35TNH3",56,9,33,17,-8,-23
"35TNH4",7,5,19,6,-1,12
"35TNJ1",82,9,44,31,-22,-38
"35TNJ2",29,2,5,16,-14,-24
"35TNJ3",296,21,158,30,-9,-138
"35TNJ4",101,5,17,30,-25,-84
"35TNK1",NA,2,225,NA,NA,NA
"35TNK2",NA,4,7,NA,NA,NA
"35TNK3",16,12,33,11,1,17
"35TNK4",49,16,101,24,-8,52
"35TNL1",NA,12,141,NA,NA,NA
"35TNL2",NA,10,35,NA,NA,NA
"35TNL3",2,2,4,2,0,2
"35TNL4",315,14,71,25,-11,-244
"35TNM2",NA,3,8,NA,NA,NA
"35TNM3",NA,4,6,NA,NA,NA
"35TNM4",NA,2,4,NA,NA,NA
"35TNN1",1,2,2,1,1,1
"35TNN2",NA,12,42,NA,NA,NA
"35TNN4",NA,9,24,NA,NA,NA
"35TPJ1",1880,16,171,28,-12,-1709
"35TPJ2",41,12,36,20,-8,-5
"35TPK1",322,21,262,37,-16,-60
"35TPK2",50,24,590,15,9,540
"35TPK3",278,10,96,29,-19,-182
"35TPK4",NA,6,9,NA,NA,NA
"35TPL2",198,22,142,35,-13,-56
"35TPL4",242,19,106,28,-9,-136
"35TQK1",130,9,30,17,-8,-100
"35TQL2",344,12,40,23,-11,-304
"35ULA1",1,22,85,1,21,84
"35ULA2",NA,21,114,NA,NA,NA
"35ULA3",3,29,610,2,27,607
"35ULA4",NA,13,65,NA,NA,NA
"35ULB1",NA,12,57,NA,NA,NA
"35ULB2",NA,9,23,NA,NA,NA
"35ULB3",NA,13,65,NA,NA,NA
"35ULB4",NA,17,68,NA,NA,NA
"35ULP2",77,39,1004,18,21,927
"35ULP4",26,35,86,5,30,60
"35ULR1",12,8,8,7,1,-4
"35ULS2",26,27,229,15,12,203
"35ULV1",NA,8,18,NA,NA,NA
"35ULV3",NA,11,20,NA,NA,NA
"35UMA1",NA,13,55,NA,NA,NA
"35UMA2",NA,3,14,NA,NA,NA
"35UMA3",NA,8,22,NA,NA,NA
"35UMB1",1,22,74,1,21,73
"35UMB2",1,25,140,1,24,139
"35UMB3",NA,8,19,NA,NA,NA
"35UMB4",NA,10,26,NA,NA,NA
"35UMP2",10,17,55,3,14,45
"35UMP4",19,NA,NA,5,NA,NA
"35UMV1",NA,12,124,NA,NA,NA
"35UNB1",NA,5,8,NA,NA,NA
"35UNP2",NA,3,23,NA,NA,NA
"35VLC1",NA,3,3,NA,NA,NA
"35VLC2",NA,4,6,NA,NA,NA
"35VLC3",NA,1,1,NA,NA,NA
"35VLC4",NA,8,12,NA,NA,NA
"35VLD1",NA,4,5,NA,NA,NA
"35VLD2",NA,10,24,NA,NA,NA
"35VLD3",NA,5,9,NA,NA,NA
"35VLD4",NA,13,26,NA,NA,NA
"35VLE3",940,39,3927,37,2,2987
"35VLE4",330,41,2993,33,8,2663
"35VLF3",1698,43,5428,35,8,3730
"35VLF4",1059,43,6063,34,9,5004
"35VLG3",7487,47,13833,49,-2,6346
"35VLG4",117,27,337,26,1,220
"35VLH3",1396,36,1501,39,-3,105
"35VLH4",1361,36,2598,40,-4,1237
"35VLJ3",900,30,1133,24,6,233
"35VLJ4",435,32,1092,31,1,657
"35VLK3",58,20,283,11,9,225
"35VLK4",277,29,1853,28,1,1576
"35VLL3",52,19,202,12,7,150
"35VLL4",54,15,135,6,9,81
"35VMC2",3,5,9,1,4,6
"35VMC3",NA,3,6,NA,NA,NA
"35VMC4",NA,5,10,NA,NA,NA
"35VMD1",NA,4,7,NA,NA,NA
"35VMD2",NA,2,2,NA,NA,NA
"35VMD3",503,26,1215,36,-10,712
"35VMD4",NA,3,4,NA,NA,NA
"35VME1",722,37,2608,36,1,1886
"35VME2",655,39,3862,34,5,3207
"35VME3",1306,46,5397,36,10,4091
"35VME4",1063,37,2927,36,1,1864
"35VMF1",1094,41,3569,33,8,2475
"35VMF2",862,38,6011,30,8,5149
"35VMF3",1087,39,4933,34,5,3846
"35VMF4",1115,39,3643,38,1,2528
"35VMG1",567,34,393,33,1,-174
"35VMG2",290,29,346,33,-4,56
"35VMG3",79,18,107,23,-5,28
"35VMG4",148,13,30,29,-16,-118
"35VMH1",227,32,1250,31,1,1023
"35VMH2",1275,34,1022,32,2,-253
"35VMH3",228,25,545,27,-2,317
"35VMH4",158,29,745,18,11,587
"35VMJ1",359,27,1442,28,-1,1083
"35VMJ2",130,25,298,20,5,168
"35VMJ3",58,19,395,13,6,337
"35VMJ4",95,27,237,20,7,142
"35VMK1",67,24,287,16,8,220
"35VMK2",379,28,2941,16,12,2562
"35VMK3",1441,13,395,31,-18,-1046
"35VMK4",218,21,378,27,-6,160
"35VML1",164,15,163,19,-4,-1
"35VML2",60,18,166,17,1,106
"35VML3",203,16,329,24,-8,126
"35VML4",60,12,214,14,-2,154
"35VNC1",NA,4,4,NA,NA,NA
"35VNC2",NA,5,8,NA,NA,NA
"35VNC3",NA,4,5,NA,NA,NA
"35VNC4",3,14,36,3,11,33
"35VND1",211,25,1398,31,-6,1187
"35VND2",NA,2,2,NA,NA,NA
"35VND3",5,3,3,1,2,-2
"35VNE1",553,38,1988,35,3,1435
"35VNE2",890,34,1634,37,-3,744
"35VNF1",571,29,1125,33,-4,554
"35VNF2",239,24,1068,30,-6,829
"35VNF3",84,13,63,22,-9,-21
"35VNH1",156,23,308,18,5,152
"35VNH2",443,33,594,29,4,151
"35VNH3",257,40,1269,28,12,1012
"35VNH4",168,21,156,25,-4,-12
"35VNJ1",206,25,424,19,6,218
"35VNJ2",134,28,565,18,10,431
"35VNJ3",74,14,96,25,-11,22
"35VNJ4",70,21,115,13,8,45
"35VNK1",1652,24,3255,39,-15,1603
"35VNK2",323,24,621,37,-13,298
"35VNK3",963,21,677,25,-4,-286
"35VNK4",237,22,198,19,3,-39
"35VNL1",9453,30,1090,32,-2,-8363
"35VNL2",4349,30,1014,32,-2,-3335
"35VNL3",419,16,257,24,-8,-162
"35VNL4",1671,17,245,27,-10,-1426
"35VPH1",65,16,76,18,-2,11
"35VPJ1",219,28,139,29,-1,-80
"35VPJ2",137,22,246,17,5,109
"35VPK1",169,23,113,21,2,-56
"35VPK2",113,30,478,23,7,365
"35VPL1",542,15,151,29,-14,-391
"35VPL2",180,15,120,17,-2,-60
"35WLM3",67,21,168,22,-1,101
"35WLM4",115,19,705,22,-3,590
"35WLN3",83,17,1209,12,5,1126
"35WLP3",20,12,174,5,7,154
"35WLP4",137,20,411,20,0,274
"35WLQ4",19,10,37,9,1,18
"35WMM1",229,27,621,25,2,392
"35WMM2",753,16,202,22,-6,-551
"35WMM3",2335,14,57,26,-12,-2278
"35WMM4",62,16,71,14,2,9
"35WMN1",604,13,260,26,-13,-344
"35WMN2",2135,27,1367,37,-10,-768
"35WMN3",44,7,28,11,-4,-16
"35WMN4",97,13,60,19,-6,-37
"35WMP1",459,20,1478,26,-6,1019
"35WMP2",66,10,66,16,-6,0
"35WMP3",2034,11,139,23,-12,-1895
"35WMP4",60,10,54,12,-2,-6
"35WMQ1",17,6,32,7,-1,15
"35WMQ2",11,8,134,8,0,123
"35WMQ3",171,9,82,16,-7,-89
"35WMQ4",78,8,66,7,1,-12
"35WMR1",1,7,32,1,6,31
"35WMR2",1837,12,293,22,-10,-1544
"35WMR3",3,7,42,2,5,39
"35WMR4",309,8,42,22,-14,-267
"35WMS1",76,7,18,9,-2,-58
"35WMS2",30,6,44,6,0,14
"35WMS3",38,6,43,9,-3,5
"35WMS4",3,10,63,3,7,60
"35WMT1",196,21,591,17,4,395
"35WMT2",109,17,162,16,1,53
"35WMT3",29,8,21,9,-1,-8
"35WMT4",50,15,75,14,1,25
"35WMU1",59,5,8,5,0,-51
"35WMU2",191,19,216,16,3,25
"35WMU3",45,6,145,7,-1,100
"35WMU4",45,12,41,7,5,-4
"35WNM1",208,17,303,21,-4,95
"35WNM2",232,20,917,21,-1,685
"35WNM3",247,11,335,20,-9,88
"35WNM4",2765,23,573,33,-10,-2192
"35WNN1",564,13,371,21,-8,-193
"35WNN2",71,10,55,13,-3,-16
"35WNN3",170,12,273,15,-3,103
"35WNN4",214,9,274,19,-10,60
"35WNP1",11,12,263,7,5,252
"35WNP2",220,12,116,24,-12,-104
"35WNP3",201,9,51,16,-7,-150
"35WNP4",1077,18,318,18,0,-759
"35WNQ1",28,10,66,11,-1,38
"35WNQ2",177,12,138,18,-6,-39
"35WNQ3",112,5,21,16,-11,-91
"35WNQ4",182,14,87,23,-9,-95
"35WNR1",185,11,133,12,-1,-52
"35WNR2",15,7,26,7,0,11
"35WNR3",4,1,11,3,-2,7
"35WNR4",294,4,10,18,-14,-284
"35WNS1",381,14,260,19,-5,-121
"35WNS2",131,11,415,19,-8,284
"35WNS3",496,21,379,22,-1,-117
"35WNS4",16,5,23,4,1,7
"35WNT1",156,12,78,14,-2,-78
"35WNT2",2911,10,62,19,-9,-2849
"35WNT3",745,20,559,16,4,-186
"35WNT4",377,23,651,20,3,274
"35WNU1",153,12,152,11,1,-1
"35WNU2",82,19,383,9,10,301
"35WNU3",93,6,37,6,0,-56
"35WNU4",44,16,301,6,10,257
"35WPM1",63,9,150,10,-1,87
"35WPM2",10052,27,260,33,-6,-9792
"35WPN1",29,10,24,5,5,-5
"35WPN2",24,7,43,11,-4,19
"35WPP1",1911,10,76,20,-10,-1835
"35WPP2",611,14,276,23,-9,-335
"35WPQ1",1,2,7,1,1,6
"35WPR2",1759,5,11,20,-15,-1748
"36VUP3",96,24,228,17,7,132
"36VUP4",38,12,53,16,-4,15
"36VUQ3",474,14,70,34,-20,-404
"36VUQ4",310,23,192,32,-9,-118
"36VUR3",125,6,34,15,-9,-91
"36VUR4",165,18,109,23,-5,-56
"36VVQ1",74,8,22,17,-9,-52
"36VVQ2",2,1,1,1,0,-1
"36VVR2",1,1,1,1,0,0
"36WUS3",22,2,4,6,-4,-18
"36WUS4",175,11,158,13,-2,-17
"36WUU4",NA,6,7,NA,NA,NA
"36WVC1",60,12,161,9,3,101
"36WVC2",1301,18,405,19,-1,-896
"36WVD2",78,16,264,11,5,186
