"cell50x50","deltaT"
"30SXH4",0.615719720914766
"30SXJ1",0.597456665782185
"30SXJ2",0.607489068523731
"30SXJ3",0.62962500890096
"30SXJ4",0.629963650799438
"30SXK2",0.590305035410364
"30SXK4",0.634953763749864
"30SYG1",0.59041633605957
"30SYH1",0.642018222808838
"30SYH2",0.628020715713501
"30SYJ1",0.630623030431062
"30SYJ2",0.641844079849568
"30SYK2",0.641528646629977
"30TTK3",0.475209611407398
"30TTL3",0.518843497985449
"30TTL4",0.500959598656857
"30TTM3",0.540692645233947
"30TTM4",0.535261850099306
"30TTN4",0.546371862190921
"30TTP4",0.531661909680034
"30TUK1",0.511425591114932
"30TUK3",0.507546684958718
"30TUL1",0.546653218423167
"30TUL2",0.524729480991116
"30TUL3",0.574702405310296
"30TUL4",0.523537843123726
"30TUM1",0.576056136025323
"30TUM2",0.567811206535057
"30TUM3",0.613897288717875
"30TUM4",0.605032400651412
"30TUN1",0.58684342991222
"30TUN2",0.610675426743786
"30TUN3",0.593881061242062
"30TUN4",0.627069545897427
"30TUP2",0.55995371985057
"30TUP4",0.581041622161865
"30TUT3",0.613541126251221
"30TVK1",0.508236733493426
"30TVK3",0.538108751371309
"30TVL1",0.613358584317294
"30TVL2",0.549263019951022
"30TVL3",0.630641317986823
"30TVL4",0.599508939470564
"30TVM1",0.633844141806326
"30TVM2",0.625820761015921
"30TVM3",0.63681405346568
"30TVM4",0.639962134423194
"30TVN1",0.595804569639009
"30TVN2",0.631493525071578
"30TVN3",0.612041657765706
"30TVN4",0.633686828613281
"30TVP2",0.577166709899902
"30TVP4",0.591721534729004
"30TVT1",0.628422669001988
"30TVT3",0.657499980926514
"30TWK1",0.56839825890281
"30TWK3",0.588120833137967
"30TWL1",0.636566607983081
"30TWL2",0.620729153496879
"30TWL3",0.644823293974905
"30TWL4",0.623001708465369
"30TWM1",0.62853149379172
"30TWM2",0.632413408973
"30TWM3",0.639314491518082
"30TWM4",0.640441906090939
"30TWN1",0.611111113230387
"30TWN2",0.628207044890433
"30TWN3",0.653110550509559
"30TWN4",0.658306289028812
"30TWP2",0.601388804117839
"30TWP4",0.669940403529576
"30TWS3",0.693287044101291
"30TWS4",0.683854341506958
"30TWT1",0.674753097251609
"30TWT2",0.686848998069763
"30TWT3",0.679127597808838
"30TWT4",0.689365436828214
"30TXK1",0.597945640484492
"30TXK3",0.647336522235146
"30TXL1",0.654017869528238
"30TXL2",0.632699226000294
"30TXL3",0.675241956403179
"30TXL4",0.675703420267477
"30TXM1",0.677451668716059
"30TXM2",0.65252973506977
"30TXM3",0.70649598704444
"30TXM4",0.699164084446283
"30TXN1",0.705594872528652
"30TXN2",0.701738420701185
"30TXN3",0.713888877810854
"30TXN4",0.709252087966255
"30TXP1",0.666987169705904
"30TXP2",0.695737751252061
"30TXP3",0.679308974224588
"30TXP4",0.690204448581482
"30TXQ1",0.65845960559267
"30TXQ2",0.660264108239151
"30TXQ3",0.686177659177495
"30TXQ4",0.68931452228177
"30TXR1",0.672429064486889
"30TXR2",0.679774284362793
"30TXR3",0.685047645568848
"30TXR4",0.689015190322678
"30TXS1",0.690065009056488
"30TXS2",0.675389468112839
"30TXS3",0.686015517411832
"30TXS4",0.682468552259529
"30TXT1",0.688222072341225
"30TXT2",0.691332847644121
"30TXT3",0.687168571082028
"30TXT4",0.707947995621345
"30TYK1",0.672719450391961
"30TYL1",0.719644852173634
"30TYL2",0.691515194286
"30TYM1",0.719020571027483
"30TYM2",0.720805213258073
"30TYN1",0.724810608617076
"30TYN2",0.720847494748174
"30TYP1",0.722982263940526
"30TYP2",0.720928004293731
"30TYQ1",0.706921514400766
"30TYQ2",0.724284324937194
"30TYR1",0.697696328163147
"30TYR2",0.701041690508525
"30TYS1",0.709259254763825
"30TYS2",0.714329034509793
"30TYT1",0.705243869261308
"30TYT2",0.724430841268952
"30UUA2",0.366895384904815
"30UUA3",0.366053917828728
"30UUA4",0.388541698455811
"30UUB3",0.421875
"30UUB4",0.389861132303874
"30UUC3",0.452777832746506
"30UUC4",0.435183079443245
"30UUD1",NA
"30UUD3",0.479079961776733
"30UUD4",0.455208301544189
"30UUE1",0.390416526794434
"30UUF1",0.434972197214762
"30UUF2",0.416956553251847
"30UUF3",0.500340502995711
"30UUG1",0.501365756988525
"30UUG2",0.494002631216338
"30UUG3",0.510700079859519
"30UUG4",0.50495695245677
