"cellID","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","deltaT","deltaS_F","deltaS_A","deltaS_O"
"size_1_068",27190000,115700000,2390000,23680000,2324250000,2493210000,33,16,44,93,27190000,115700000,2390000,23680000,2324250000,2493210000,11,19,41,71,0.5,-22,3,-3
"size_1_069",125210000,176200000,11700000,698600000,1488290000,2.5e+09,34,17,47,98,125210000,176200000,11700000,698600000,1488290000,2.5e+09,6,21,44,71,0.5,-28,4,-3
"size_1_070",59540000,148750000,7580000,97180000,2122760000,2435810000,35,19,58,112,59540000,148750000,7580000,97180000,2122760000,2435810000,11,13,34,58,0.5,-24,-6,-24
"size_1_071",83130000,213150000,20830000,458070000,1724820000,2.5e+09,35,18,47,100,83130000,213150000,20830000,458070000,1724820000,2.5e+09,9,15,44,68,0.5,-26,-3,-3
"size_1_072",249280000,174700000,42650000,946390000,1086980000,2.5e+09,32,19,47,98,249280000,174700000,42650000,946390000,1086980000,2.5e+09,6,12,39,57,0.5,-26,-7,-8
"size_1_073",186730000,371930000,30640000,1065320000,845380000,2.5e+09,33,20,50,103,186730000,371930000,30640000,1065320000,845380000,2.5e+09,6,18,47,71,0.5,-27,-2,-3
"size_1_074",11450000,79630000,11290000,77760000,2157940000,2338070000,36,20,58,114,11450000,79630000,11290000,77760000,2157940000,2338070000,11,21,48,80,0.5,-25,1,-10
"size_1_075",185020000,222810000,29250000,1902980000,159940000,2.5e+09,32,17,44,93,185020000,222810000,29250000,1902980000,159940000,2.5e+09,5,12,34,51,0.5,-27,-5,-10
"size_1_076",33070000,204340000,93150000,1099260000,1070180000,2.5e+09,23,15,39,77,33070000,204340000,93150000,1099260000,1070180000,2.5e+09,7,10,42,59,0.5,-16,-5,3
"size_1_077",96250000,261300000,24860000,832230000,1264960000,2479600000,31,17,43,91,96250000,261300000,24860000,832230000,1264960000,2479600000,9,13,42,64,0.5,-22,-4,-1
"size_1_078",111540000,91740000,74050000,2004100000,218570000,2.5e+09,32,18,36,86,111540000,91740000,74050000,2004100000,218570000,2.5e+09,5,14,42,61,0.5,-27,-4,6
"size_1_079",194690000,186900000,20960000,1751400000,346050000,2.5e+09,31,16,35,82,194690000,186900000,20960000,1751400000,346050000,2.5e+09,6,16,39,61,0.5,-25,0,4
"size_1_080",225980000,165120000,22430000,1852520000,233950000,2.5e+09,30,17,39,86,225980000,165120000,22430000,1852520000,233950000,2.5e+09,4,10,39,53,0.5,-26,-7,0
"size_1_081",66160000,70720000,33350000,1826770000,5.03e+08,2.5e+09,31,19,46,96,66160000,70720000,33350000,1826770000,5.03e+08,2.5e+09,6,16,43,65,0.5,-25,-3,-3
"size_1_082",93020000,103460000,38200000,2055300000,210020000,2.5e+09,29,16,39,84,93020000,103460000,38200000,2055300000,210020000,2.5e+09,5,10,39,54,0.5,-24,-6,0
"size_1_083",39980000,175990000,129700000,1931310000,223020000,2.5e+09,36,19,45,100,39980000,175990000,129700000,1931310000,223020000,2.5e+09,6,16,43,65,0.5,-30,-3,-2
"size_1_084",66270000,129390000,70730000,481710000,1701630000,2449730000,34,20,54,108,66270000,129390000,70730000,481710000,1701630000,2449730000,11,19,47,77,0.5,-23,-1,-7
"size_1_085",57760000,83090000,35880000,618560000,1704710000,2.5e+09,34,20,52,106,57760000,83090000,35880000,618560000,1704710000,2.5e+09,9,14,38,61,0.5,-25,-6,-14
"size_1_086",427510000,1482570000,22830000,64480000,502610000,2.5e+09,32,31,75,138,427510000,1482570000,22830000,64480000,502610000,2.5e+09,29,16,79,124,0.5,-3,-15,4
"size_1_087",331760000,278140000,73720000,1108090000,708290000,2.5e+09,32,20,56,108,331760000,278140000,73720000,1108090000,708290000,2.5e+09,11,19,49,79,0.5,-21,-1,-7
"size_1_088",94130000,438020000,47510000,1095650000,824690000,2.5e+09,32,18,50,100,94130000,438020000,47510000,1095650000,824690000,2.5e+09,8,12,39,59,0.5,-24,-6,-11
"size_1_089",117750000,243400000,40320000,1722590000,375940000,2.5e+09,30,17,45,92,117750000,243400000,40320000,1722590000,375940000,2.5e+09,6,14,37,57,0.5,-24,-3,-8
"size_1_090",32940000,533740000,444530000,943570000,545220000,2.5e+09,32,18,55,105,32940000,533740000,444530000,943570000,545220000,2.5e+09,14,14,46,74,0.5,-18,-4,-9
"size_1_091",147650000,0,2210000,279380000,2070760000,2.5e+09,32,24,54,110,147650000,0,2210000,279380000,2070760000,2.5e+09,12,20,43,75,0.5,-20,-4,-11
"size_1_092",577890000,1255140000,34650000,355410000,276910000,2.5e+09,36,38,77,151,577890000,1255140000,34650000,355410000,276910000,2.5e+09,30,21,73,124,0.5,-6,-17,-4
"size_1_093",159010000,1779690000,9710000,2.83e+08,268590000,2.5e+09,29,24,59,112,159010000,1779690000,9710000,2.83e+08,268590000,2.5e+09,19,13,62,94,0.5,-10,-11,3
"size_1_094",308990000,990360000,13390000,500240000,687020000,2.5e+09,33,29,70,132,308990000,990360000,13390000,500240000,687020000,2.5e+09,28,21,74,123,0.5,-5,-8,4
"size_1_095",49430000,1677780000,40800000,525660000,206330000,2.5e+09,33,31,77,141,49430000,1677780000,40800000,525660000,206330000,2.5e+09,30,20,73,123,0.5,-3,-11,-4
"size_1_096",347420000,1258790000,26480000,263550000,603760000,2.5e+09,35,35,79,149,347420000,1258790000,26480000,263550000,603760000,2.5e+09,34,22,84,140,0.5,-1,-13,5
"size_1_097",386470000,1199360000,29100000,83130000,801940000,2.5e+09,28,32,65,125,386470000,1199360000,29100000,83130000,801940000,2.5e+09,25,16,70,111,0.5,-3,-16,5
"size_1_098",132320000,42870000,117060000,39200000,1742840000,2074290000,26,21,49,96,132320000,42870000,117060000,39200000,1742840000,2074290000,21,9,52,82,0.5,-5,-12,3
"size_1_099",117970000,1122780000,149450000,65290000,1044510000,2.5e+09,32,31,74,137,117970000,1122780000,149450000,65290000,1044510000,2.5e+09,31,22,81,134,0.5,-1,-9,7
"size_1_100",14980000,2381280000,28180000,38270000,37290000,2.5e+09,35,27,59,121,14980000,2381280000,28180000,38270000,37290000,2.5e+09,16,14,54,84,0.5,-19,-13,-5
"size_1_101",79960000,1949090000,4.5e+07,85190000,340760000,2.5e+09,32,29,70,131,79960000,1949090000,4.5e+07,85190000,340760000,2.5e+09,25,19,68,112,0.5,-7,-10,-2
"size_1_102",597340000,1217810000,20650000,54580000,609620000,2.5e+09,25,24,52,101,597340000,1217810000,20650000,54580000,609620000,2.5e+09,17,11,59,87,0.5,-8,-13,7
"size_1_103",495730000,836660000,7380000,314860000,845370000,2.5e+09,30,26,64,120,495730000,836660000,7380000,314860000,845370000,2.5e+09,23,18,68,109,0.5,-7,-8,4
"size_1_104",391010000,1080370000,10690000,416740000,601190000,2.5e+09,32,28,73,133,391010000,1080370000,10690000,416740000,601190000,2.5e+09,23,15,61,99,0.5,-9,-13,-12
"size_1_105",270240000,1802550000,59350000,180440000,187420000,2.5e+09,34,33,67,134,270240000,1802550000,59350000,180440000,187420000,2.5e+09,28,23,73,124,0.5,-6,-10,6
"size_1_106",218760000,663520000,44120000,43240000,1530360000,2.5e+09,34,27,68,129,218760000,663520000,44120000,43240000,1530360000,2.5e+09,25,17,68,110,0.5,-9,-10,0
"size_1_107",162640000,583640000,19030000,100140000,1634550000,2.5e+09,31,29,61,121,162640000,583640000,19030000,100140000,1634550000,2.5e+09,25,16,62,103,0.5,-6,-13,1
"size_1_108",206750000,1913800000,44800000,100800000,233850000,2.5e+09,30,24,48,102,206750000,1913800000,44800000,100800000,233850000,2.5e+09,19,15,54,88,0.5,-11,-9,6
