"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT"
"36VVN1",NA,NA,NA,NA,NA,9,1,5,1,0,-4,1.46339285160814
"36VVN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.422365676273
"36VVN3",1,1,184,184,183,5,4,20,5,1,15,1.45893189704643
"36VVN4",1,1,187,187,186,5,5,14,6,1,9,1.42178777173946
"36VVP1",1,1,83,83,82,23,3,12,2,-1,-11,1.47067331702545
"36VVP2",1,1,92,92,91,42,15,34,6,-9,-8,1.46729616381696
"36VVP3",1,1,84,84,83,39,11,13,5,-6,-26,1.45650964398538
"36VVP4",1,1,141,141,140,5,2,11,2,0,6,1.44411969327927
"36VVQ1",133,133,134,134,1,97,21,22,8,-13,-75,1.51607184996828
"36VVQ2",121,121,118,118,-3,4,2,6,4,2,2,1.4825331721195
"36VVQ3",1,1,85,85,84,14,4,11,2,-2,-3,1.52248583222164
"36VVQ4",1,1,96,96,95,30,8,5,2,-6,-25,1.5103304365848
"36VVR1",1,1,16,16,15,5,1,2,1,0,-3,1.49470598640896
"36VVR2",1,1,96,96,95,3,2,1,1,-1,-2,1.54153322541352
"36VVR3",1,1,20,20,19,102,2,1,1,-1,-101,1.5098442130519
"36VVR4",1,1,56,56,55,NA,NA,2,1,NA,NA,1.53052111602191
"36VWH1",NA,NA,137,137,NA,NA,NA,67,12,NA,NA,1.29763475321405
"36VWH2",NA,NA,113,113,NA,NA,NA,6,2,NA,NA,1.31560606454548
"36VWH3",NA,NA,128,128,NA,42,7,NA,NA,NA,NA,1.27938646415495
"36VWH4",NA,NA,130,130,NA,4,3,3,3,0,-1,1.28183296947944
"36VWJ1",NA,NA,118,118,NA,18,1,7,5,4,-11,1.28305782946673
"36VWJ2",NA,NA,118,118,NA,52,3,12,8,5,-40,1.27860534841364
"36VWJ3",NA,NA,138,138,NA,NA,NA,6,3,NA,NA,1.26469182534651
"36VWJ4",NA,NA,109,109,NA,NA,NA,1,1,NA,NA,1.23781387783863
"36VWK1",NA,NA,93,93,NA,NA,NA,7,5,NA,NA,1.34995242017479
"36VWK2",NA,NA,132,132,NA,66,3,51,14,11,-15,1.32499481764707
"36VWK3",NA,NA,124,124,NA,NA,NA,7,6,NA,NA,1.3304332888504
