"cell50x50","forest_abs","agriculture_abs","grassland_abs","urban_abs","other_abs","forest_rel","agriculture_rel","grassland_rel","urban_rel","other_rel"
"33TVG1",485.033869877657,1413.84734309831,114.064113723025,86.9197423560268,401.758602914264,0.193887623990956,0.565171875746334,0.0455960322893945,0.03474533093445,0.160599137038865
"33TVG2",1220.81211312783,492.260218442224,401.254713398256,23.7894902669918,363.553997554459,0.487998758080438,0.196772601343821,0.160394707512021,0.00950944177307901,0.145324491290641
"33TVG3",51.7695513769734,698.415957689851,10.2762410119324,45.6356710830292,1695.81874931796,0.0206919608209921,0.279152421624074,0.004107348252984,0.0182402878327768,0.677807981469173
"33TVG4",506.639010617335,1747.21202696495,52.19838624297,36.4751409400991,159.453025354574,0.202495423067739,0.698332404680411,0.0208628512298018,0.0145785242378413,0.0637307967842076
"33TVH1",11.1326532924149,182.503818911789,0,29.2356619557515,2278.75853551224,0.00445015862148575,0.0729539420524068,0,0.0116866419612542,0.910909257364853
"33TVH2",57.0385352876128,896.474898103687,0.418229483603306,82.5306180977191,1465.17737520055,0.0228004601489513,0.358354927693722,0.00016718214494692,0.0329906099361921,0.585686820076187
"33TVK1",448.695394430572,337.387868488607,95.5046055921796,55.4346928716155,1564.59864967841,0.17936184440977,0.134867687800529,0.0381770849918798,0.0221595070534662,0.625433875744356
"33TVK3",428.475676194953,123.161363837017,184.66238122523,35.8191644341649,1729.84556890522,0.171255721393035,0.0492258706467662,0.0738069651741294,0.0143164179104478,0.691395024875622
"33TVK4",121.79436889596,57.1035567052266,69.3009162455758,17.375014202375,2236.36844692368,0.0486799270915415,0.0228236904733478,0.0276988466773323,0.00694461026608404,0.893852925491694
"33TVL1",1544.25816379045,486.708733579758,157.917955027648,93.3228497710523,219.446112169702,0.617294909047486,0.194554790431079,0.0631254229192374,0.0373044620467301,0.0877204155554671
"33TVL2",1356.20644133918,549.77359143577,146.925600725124,54.3789024439105,394.32421475533,0.54213371333949,0.219768015794669,0.058732445944655,0.0217375728433589,0.157628252077827
"33TVL3",1644.09509281801,496.813254593718,212.046544737202,67.1737962337246,81.8313456046174,0.657122843884073,0.198569620555436,0.0847521710405871,0.0268484689288472,0.0327068955910563
