"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","delta_SR"
"30SVK2",NA,117,NA,150,33
"30SVK4",123,123,145,145,22
"30SWF1",136,136,135,135,-1
"30SWF3",NA,50,NA,113,63
"30SWG1",124,124,122,122,-2
"30SWG2",106,106,110,110,4
"30SWG3",103,103,99,99,-4
"30SWG4",NA,58,NA,106,48
"30SWH1",116,116,126,126,10
"30SWH2",NA,86,NA,106,20
"30SWH3",NA,29,NA,128,99
"30SWH4",NA,92,NA,118,26
"30SWJ1",NA,56,NA,139,83
"30SWJ2",NA,26,NA,137,111
"30SWJ3",NA,24,NA,133,109
"30SWJ4",NA,29,NA,134,105
"30SWK2",NA,92,NA,129,37
"30SWK4",NA,78,NA,131,53
"30SXG1",NA,76,NA,127,51
"30SXG2",NA,57,NA,84,27
"30SXG3",132,132,142,142,10
"30SXH1",NA,24,NA,143,119
"30SXH2",106,106,123,123,17
"30SXH3",NA,121,NA,146,25
"30SXH4",151,151,155,155,4
"30SXJ1",113,113,109,109,-4
"30SXJ2",NA,38,NA,156,118
"30SXJ3",119,119,122,122,3
"30SXJ4",112,112,129,129,17
"30SXK2",110,110,127,127,17
"30SXK4",129,129,128,128,-1
"30SYG1",NA,23,NA,59,36
"30SYH1",120,120,137,137,17
"30SYH2",NA,110,NA,134,24
"30SYJ1",147,147,158,158,11
"30SYJ2",137,137,141,141,4
"30SYK2",146,146,143,143,-3
"30TTK3",149,149,148,148,-1
"30TTL3",NA,115,NA,153,38
"30TTL4",158,158,144,144,-14
"30TTM3",NA,107,NA,134,27
"30TTM4",NA,111,NA,161,50
"30TTN3",120,120,119,119,-1
"30TTN4",149,149,151,151,2
"30TTP4",NA,95,NA,132,37
"30TUK1",148,148,148,148,0
"30TUK3",149,149,142,142,-7
"30TUL1",136,136,138,138,2
"30TUL2",140,140,143,143,3
"30TUL3",122,122,140,140,18
"30TUL4",146,146,152,152,6
"30TUM1",123,123,129,129,6
"30TUM2",132,132,131,131,-1
"30TUM3",141,141,136,136,-5
"30TUM4",137,137,137,137,0
"30TUN1",129,129,138,138,9
"30TUN2",145,145,146,146,1
"30TUN3",135,135,134,134,-1
"30TUN4",149,149,150,150,1
"30TUP2",100,100,112,112,12
"30TUP4",111,111,114,114,3
"30TUT3",NA,NA,NA,76,NA
"30TVK1",150,150,162,162,12
"30TVK3",NA,125,NA,159,34
"30TVL1",128,128,145,145,17
"30TVL2",153,153,159,159,6
"30TVL3",131,131,143,143,12
"30TVL4",145,145,155,155,10
"30TVM1",136,136,138,138,2
"30TVM2",134,134,139,139,5
"30TVM3",146,146,154,154,8
"30TVM4",148,148,135,135,-13
"30TVN1",132,132,150,150,18
"30TVN2",141,141,145,145,4
"30TVN3",132,132,147,147,15
"30TVN4",148,148,146,146,-2
"30TVP2",NA,95,NA,123,28
"30TVP4",NA,90,NA,132,42
"30TVT1",113,113,105,105,-8
"30TVT3",137,137,134,134,-3
"30TVT4",NA,NA,NA,83,NA
"30TWK1",129,129,146,146,17
"30TWK3",130,130,126,126,-4
"30TWL1",123,123,135,135,12
"30TWL2",129,129,138,138,9
"30TWL3",NA,82,NA,134,52
"30TWL4",113,113,116,116,3
"30TWM1",150,150,149,149,-1
"30TWM2",143,143,144,144,1
"30TWM3",166,166,154,154,-12
"30TWM4",135,135,145,145,10
"30TWN1",132,132,147,147,15
"30TWN2",157,157,173,173,16
"30TWN3",142,142,138,138,-4
"30TWN4",164,164,158,158,-6
"30TWP2",NA,85,NA,106,21
"30TWP4",NA,71,NA,115,44
"30TWS1",NA,NA,NA,52,NA
"30TWS3",140,140,142,142,2
"30TWS4",NA,NA,NA,71,NA
"30TWT1",150,150,141,141,-9
"30TWT2",122,122,126,126,4
"30TWT3",141,141,127,127,-14
"30TWT4",142,142,159,159,17
"30TXK1",NA,102,NA,136,34
"30TXK3",109,109,122,122,13
"30TXL1",NA,73,NA,122,49
"30TXL2",NA,73,NA,150,77
"30TXL3",131,131,138,138,7
"30TXL4",NA,92,NA,134,42
"30TXM1",157,157,165,165,8
"30TXM2",145,145,156,156,11
"30TXM3",150,150,162,162,12
"30TXM4",NA,121,NA,151,30
"30TXN1",155,155,132,132,-23
"30TXN2",160,160,165,165,5
"30TXN3",146,146,139,139,-7
"30TXN4",143,143,154,154,11
"30TXP1",103,103,118,118,15
"30TXP2",131,131,147,147,16
"30TXP3",103,103,117,117,14
"30TXP4",128,128,132,132,4
"30TXQ1",108,108,121,121,13
"30TXQ2",106,106,105,105,-1
"30TXQ3",138,138,138,138,0
"30TXQ4",NA,109,NA,142,33
"30TXR1",137,137,141,141,4
"30TXR2",105,105,104,104,-1
"30TXR3",144,144,157,157,13
"30TXR4",127,127,149,149,22
"30TXS1",140,140,125,125,-15
"30TXS2",157,157,155,155,-2
"30TXS3",130,130,135,135,5
"30TXS4",135,135,137,137,2
"30TXT1",137,137,126,126,-11
"30TXT2",148,148,157,157,9
"30TXT3",140,140,147,147,7
"30TXT4",129,129,141,141,12
"30TYK1",125,125,125,125,0
"30TYL1",124,124,139,139,15
"30TYL2",NA,118,NA,146,28
"30TYM1",178,178,159,159,-19
"30TYM2",143,143,135,135,-8
"30TYN1",147,147,142,142,-5
"30TYN2",152,152,153,153,1
"30TYP1",NA,97,NA,121,24
"30TYP2",NA,101,NA,127,26
"30TYQ1",109,109,122,122,13
"30TYQ2",106,106,115,115,9
"30TYR1",133,133,134,134,1
"30TYR2",119,119,118,118,-1
"30TYS1",123,123,144,144,21
"30TYS2",NA,105,NA,136,31
"30TYT1",143,143,144,144,1
"30TYT2",146,146,156,156,10
"30UUA2",106,106,111,111,5
"30UUA3",124,124,111,111,-13
"30UUA4",NA,NA,NA,31,NA
"30UUB3",NA,NA,NA,50,NA
"30UUB4",111,111,100,100,-11
"30UUC3",100,100,104,104,4
"30UUC4",128,128,119,119,-9
"30UUD3",NA,131,NA,94,-37
"30UUD4",NA,NA,NA,55,NA
"30UUE1",NA,NA,NA,11,NA
"30UUE3",NA,NA,NA,89,NA
"30UUF1",97,97,101,101,4
"30UUF2",95,95,94,94,-1
"30UUF3",NA,133,NA,91,-42
"30UUG1",101,101,84,84,-17
"30UUG2",NA,141,NA,95,-46
"30UUG3",115,115,132,132,17
