"Forest","Agriculture","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
300490000,1704090000,495420000,2.5e+09,29,79,108
18270000,218650000,2263080000,2.5e+09,39,99,138
211880000,560130000,1727990000,2.5e+09,37,97,134
100990000,445880000,1760260000,2307130000,30,81,111
41860000,1828100000,630040000,2.5e+09,30,76,106
178840000,1710420000,610740000,2.5e+09,28,76,104
214450000,899940000,1385610000,2.5e+09,33,85,118
109590000,1481330000,909080000,2.5e+09,33,86,119
36860000,1559950000,903190000,2.5e+09,30,78,108
48890000,2257940000,193170000,2.5e+09,29,72,101
74690000,2035210000,390100000,2.5e+09,31,83,114
52700000,2089500000,357800000,2.5e+09,34,78,112
118870000,1742210000,638920000,2.5e+09,34,94,128
74940000,2000780000,424280000,2.5e+09,28,65,93
222060000,982270000,1295670000,2.5e+09,35,90,125
104700000,1307400000,1087900000,2.5e+09,43,104,147
160620000,1698020000,641360000,2.5e+09,34,91,125
158520000,968580000,1372900000,2.5e+09,38,86,124
137920000,1237830000,1124250000,2.5e+09,38,90,128
41770000,298870000,2127400000,2468040000,42,98,140
71800000,784060000,1644140000,2.5e+09,38,93,131
18020000,478440000,1784580000,2281040000,37,104,141
189150000,1187060000,1123790000,2.5e+09,34,90,124
353710000,1031730000,1114560000,2.5e+09,39,89,128
334790000,1120310000,1044900000,2.5e+09,32,89,121
284210000,15030000,2200760000,2.5e+09,32,81,113
317960000,16760000,2165280000,2.5e+09,36,86,122
243870000,5100000,2251030000,2.5e+09,34,81,115
92800000,1880000,2405320000,2.5e+09,26,66,92
121610000,10600000,2367790000,2.5e+09,29,80,109
357390000,18840000,2123770000,2.5e+09,33,82,115
13100000,1550000,2441400000,2456050000,29,68,97
86400000,1910000,2411690000,2.5e+09,30,68,98
263370000,42880000,2193750000,2.5e+09,35,87,122
366320000,337580000,1796100000,2.5e+09,33,88,121
305960000,765190000,1428850000,2.5e+09,35,84,119
493280000,381280000,1625440000,2.5e+09,38,99,137
163570000,14880000,2321550000,2.5e+09,37,91,128
557430000,297160000,1645410000,2.5e+09,34,88,122
209010000,49380000,2241610000,2.5e+09,29,81,110
156150000,1840000,2342010000,2.5e+09,33,86,119
363840000,75840000,2060320000,2.5e+09,31,78,109
163200000,79670000,2257130000,2.5e+09,33,77,110
8440000,8e+06,2.279e+09,2295440000,28,77,105
0,3460000,2419160000,2422620000,29,73,102
498310000,1391960000,609730000,2.5e+09,29,99,128
87260000,927460000,1481540000,2496260000,36,101,137
432410000,1518100000,549490000,2.5e+09,35,103,138
721560000,1.181e+09,597440000,2.5e+09,38,96,134
787760000,788790000,923450000,2.5e+09,31,112,143
119500000,2124240000,256260000,2.5e+09,39,110,149
857570000,825600000,816830000,2.5e+09,34,94,128
799770000,56840000,1643390000,2.5e+09,32,105,137
588660000,1743570000,167770000,2.5e+09,29,71,100
335090000,1866830000,298080000,2.5e+09,25,65,90
753320000,1445200000,301480000,2.5e+09,28,81,109
494210000,1771290000,234500000,2.5e+09,27,69,96
524660000,1577950000,397390000,2.5e+09,38,98,136
789680000,1507410000,202910000,2.5e+09,32,78,110
571150000,1465850000,4.63e+08,2.5e+09,36,97,133
1230000,270240000,1773730000,2045200000,42,113,155
377830000,1082940000,1039230000,2.5e+09,28,91,119
851910000,435350000,1212740000,2.5e+09,37,111,148
192080000,1950050000,357870000,2.5e+09,36,103,139
1308340000,266900000,924760000,2.5e+09,30,107,137
952400000,976260000,571340000,2.5e+09,35,101,136
827670000,38910000,1633420000,2.5e+09,33,104,137
726960000,1221090000,551950000,2.5e+09,33,103,136
851500000,75740000,1572760000,2.5e+09,34,97,131
154910000,2159130000,185960000,2.5e+09,31,84,115
166470000,2096320000,237210000,2.5e+09,28,73,101
422080000,1818480000,259440000,2.5e+09,34,94,128
156220000,1899420000,444360000,2.5e+09,29,83,112
1129760000,995940000,374300000,2.5e+09,31,84,115
478240000,1709850000,311910000,2.5e+09,26,74,100
1102720000,807920000,589360000,2.5e+09,38,91,129
1042150000,875510000,582340000,2.5e+09,30,85,115
697500000,834140000,968360000,2.5e+09,37,95,132
1129970000,1054290000,315740000,2.5e+09,30,79,109
769590000,624260000,1106150000,2.5e+09,38,87,125
661150000,1034520000,804330000,2.5e+09,36,85,121
561200000,1688760000,250040000,2.5e+09,38,96,134
266730000,1233270000,1e+09,2.5e+09,36,88,124
540120000,1150530000,809350000,2.5e+09,45,110,155
351710000,942120000,1206170000,2.5e+09,37,93,130
521550000,1484550000,493900000,2.5e+09,40,98,138
491790000,1602110000,406100000,2.5e+09,33,96,129
634110000,1666350000,199540000,2.5e+09,40,101,141
542570000,1675510000,281920000,2.5e+09,38,101,139
276920000,254530000,1941410000,2472860000,38,101,139
1251520000,417660000,830820000,2.5e+09,36,112,148
983580000,418360000,1098060000,2.5e+09,39,114,153
1117860000,806570000,575570000,2.5e+09,30,99,129
1451260000,699010000,349730000,2.5e+09,38,115,153
1131530000,448860000,919610000,2.5e+09,32,104,136
685130000,1407390000,407480000,2.5e+09,32,99,131
1271600000,164910000,1063490000,2.5e+09,33,104,137
499850000,1188240000,811910000,2.5e+09,37,110,147
675100000,949320000,875580000,2.5e+09,46,129,175
556010000,1516970000,427020000,2.5e+09,34,91,125
547050000,1647520000,305430000,2.5e+09,34,92,126
723070000,1268450000,508480000,2.5e+09,34,92,126
1471600000,361560000,666840000,2.5e+09,33,97,130
1011580000,532610000,955810000,2.5e+09,33,79,112
698740000,1029040000,772220000,2.5e+09,33,87,120
639620000,466590000,1393790000,2.5e+09,35,89,124
710520000,748850000,1040630000,2.5e+09,34,87,121
1194440000,300530000,1005030000,2.5e+09,38,92,130
1394060000,236240000,869700000,2.5e+09,36,86,122
7.91e+08,502050000,1206950000,2.5e+09,35,89,124
661960000,214510000,1623530000,2.5e+09,36,84,120
322190000,1320190000,857620000,2.5e+09,40,95,135
461530000,856040000,1182430000,2.5e+09,45,100,145
466830000,915310000,1117860000,2.5e+09,40,96,136
347390000,6.9e+08,1462610000,2.5e+09,43,100,143
1414640000,834220000,251140000,2.5e+09,44,105,149
750100000,1489740000,260160000,2.5e+09,37,93,130
704190000,1274380000,521430000,2.5e+09,42,104,146
427590000,1546770000,525640000,2.5e+09,36,90,126
24940000,420900000,1916540000,2362380000,45,109,154
18690000,479480000,1723290000,2221460000,40,102,142
705660000,1168600000,625740000,2.5e+09,39,117,156
1151010000,648730000,700260000,2.5e+09,35,112,147
142980000,724790000,1632230000,2.5e+09,46,112,158
906950000,501840000,1091210000,2.5e+09,38,97,135
930900000,436570000,1132530000,2.5e+09,38,107,145
7.97e+08,494210000,1208790000,2.5e+09,37,101,138
1428620000,185730000,885650000,2.5e+09,37,103,140
598640000,1093220000,808140000,2.5e+09,40,103,143
1031490000,608620000,859890000,2.5e+09,38,102,140
841730000,414350000,1243920000,2.5e+09,44,109,153
1.119e+09,573430000,807570000,2.5e+09,37,98,135
512750000,629370000,1357880000,2.5e+09,40,101,141
341160000,940950000,1217890000,2.5e+09,37,104,141
535040000,418570000,1546390000,2.5e+09,39,101,140
365680000,389820000,1744500000,2.5e+09,33,89,122
764770000,1371370000,363860000,2.5e+09,40,102,142
822590000,805210000,872200000,2.5e+09,39,97,136
827590000,1166230000,506180000,2.5e+09,36,89,125
1132470000,213300000,1154230000,2.5e+09,36,93,129
684060000,1234460000,581480000,2.5e+09,36,104,140
74070000,1017520000,1408410000,2.5e+09,44,119,163
813500000,1239960000,446540000,2.5e+09,41,119,160
348420000,731130000,1420450000,2.5e+09,43,103,146
1204550000,559560000,735890000,2.5e+09,38,106,144
974390000,878890000,646720000,2.5e+09,37,108,145
