"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT","ccv","log_ccv"
"30TVL2",153,153,159,159,6,48,30,10476,23,7,10428,0.549263019951022,3.13364898697369,0.842835500178457
"30TVL3",131,131,143,143,12,11,30,9502,4,26,9491,0.630641317986823,9.21003705663731,1.77187082037871
"30TVL4",145,145,155,155,10,140,39,10987,15,24,10847,0.599508939470564,6.10590573028642,1.66339576871224
"30TVM1",136,136,138,138,2,3,27,9433,2,25,9430,0.633844141806326,21.7594326497393,2.85689343929273
"30TVM2",134,134,139,139,5,1,33,8532,1,32,8531,0.625820761015921,22.281146844864,2.83517513051061
"30TVM3",146,146,154,154,8,21,31,9713,10,21,9692,0.63681405346568,6.1961762902303,1.54928779526011
"30TVM4",148,148,135,135,-13,48,23,10186,13,10,10138,0.639962134423194,12.123460992111,2.29344566563653
"30TVN1",132,132,150,150,18,3,51,13017,2,49,13014,0.595804569639009,5.66183341507721,1.43825760888174
"30TVN2",141,141,145,145,4,34,46,9350,5,41,9316,0.631493525071578,15.2053858215221,2.44750056725044
"30TVN3",132,132,147,147,15,14,44,11361,7,37,11347,0.612041657765706,8.00595541077211,1.61644117378814
"30TVN4",148,148,146,146,-2,1,35,8233,1,34,8232,0.633686828613281,8.55284812919094,1.85799416606678
"30TVT1",113,113,105,105,-8,33,19,220,13,6,187,0.628422669001988,NA,NA
"30TVT3",137,137,134,134,-3,346,44,3077,31,13,2731,0.657499980926514,18.2253116370267,2.83840147261754
"30TWK1",129,129,146,146,17,91,12,11811,8,4,11720,0.56839825890281,6.77639203737922,1.77582971586008
"30TWK3",130,130,126,126,-4,1,16,15829,1,15,15828,0.588120833137967,5.18936711683441,1.51361580000677
"30TWL1",123,123,135,135,12,12,26,11072,4,22,11060,0.636566607983081,15.3194888095411,2.50256397020731
"30TWL2",129,129,138,138,9,65,16,12920,12,4,12855,0.620729153496879,11.3993728442107,2.2436069887942
"30TWL4",113,113,116,116,3,9,16,14750,7,9,14741,0.623001708465369,10.6149991967532,2.14359770266319
"30TWM1",150,150,149,149,-1,42,20,5223,3,17,5181,0.62853149379172,4.02926172629213,1.1935797993223
"30TWM2",143,143,144,144,1,1,29,9462,1,28,9461,0.632413408973,12.3570693040002,2.01653438528139
"30TWM3",166,166,154,154,-12,546,35,6377,11,24,5831,0.639314491518082,7.32433922843164,1.62288151025828
"30TWM4",135,135,145,145,10,382,17,10809,10,7,10427,0.640441906090939,9.7916945478861,1.8861136330504
"30TWN1",132,132,147,147,15,2,33,7604,1,32,7602,0.611111113230387,6.02220807374137,1.51091767122868
"30TWN2",157,157,173,173,16,171,28,6746,14,14,6575,0.628207044890433,6.71113358253603,1.72722218960803
"30TWN3",142,142,138,138,-4,6138,41,5594,22,19,-544,0.653110550509559,4.53177364129144,1.30257548423934
"30TWN4",164,164,158,158,-6,10447,35,5823,26,9,-4624,0.658306289028812,6.53446775684759,1.62555007565084
"30TWS3",140,140,142,142,2,125,34,1319,25,9,1194,0.693287044101291,33.0767628973674,3.2167590333315
"30TWT1",150,150,141,141,-9,427,49,10015,38,11,9588,0.674753097251609,30.6221123087073,3.17263738478874
"30TWT2",122,122,126,126,4,75,25,257,24,1,182,0.686848998069763,91.4879736799874,4.13877257794383
"30TWT3",141,141,127,127,-14,543,47,13868,45,2,13325,0.679127597808838,36.3066980053834,3.40713798755892
"30TWT4",142,142,159,159,17,922,54,157192,44,10,156270,0.689365436828214,30.2149065495293,3.24661903689031
"30TXK3",109,109,122,122,13,NA,8,10997,NA,NA,NA,0.647336522235146,5.50873162354365,1.47208107307634
"30TXL3",131,131,138,138,7,1,18,10108,1,17,10107,0.675241956403179,6.99825967711594,1.83093361813047
"30TXM1",157,157,165,165,8,2664,19,6597,19,0,3933,0.677451668716059,20.0460829411267,2.54761640484212
"30TXM2",145,145,156,156,11,1516,27,8573,13,14,7057,0.65252973506977,11.6429953809248,1.92350951379017
"30TXM3",150,150,162,162,12,168,21,10618,8,13,10450,0.70649598704444,14.3068112324534,2.08039237720161
"30TXN1",155,155,132,132,-23,6382,47,5878,48,-1,-504,0.705594872528652,7.01418830517087,1.64473371809391
"30TXN2",160,160,165,165,5,8861,31,7665,23,8,-1196,0.701738420701185,6.36105594947176,1.65148465208605
"30TXN3",146,146,139,139,-7,857,71,6606,53,18,5749,0.713888877810854,9.4360406118657,1.57882540967577
"30TXN4",143,143,154,154,11,1255,31,10877,22,9,9622,0.709252087966255,4.62543560830576,1.31462109607501
"30TXP1",103,103,118,118,15,142,43,2358,30,13,2216,0.666987169705904,24.6416489277049,3.18220661475943
"30TXP2",131,131,147,147,16,429,62,9782,45,17,9353,0.695737751252061,29.2842665413426,3.11347077537702
"30TXP3",103,103,117,117,14,317,50,3732,33,17,3415,0.679308974224588,34.6878898609851,3.3157866645882
"30TXP4",128,128,132,132,4,618,54,3228,36,18,2610,0.690204448581482,38.6416099840699,3.37787329260513
"30TXQ1",108,108,121,121,13,71,51,7492,26,25,7421,0.65845960559267,30.3388459618141,3.33527333814352
"30TXQ2",106,106,105,105,-1,67,41,1749,26,15,1682,0.660264108239151,33.0966952857827,3.36761225707396
"30TXQ3",138,138,138,138,0,416,58,6515,32,26,6099,0.686177659177495,29.7742089094887,3.17514838534634
"30TXR1",137,137,141,141,4,333,41,1447,37,4,1114,0.672429064486889,61.2645656993771,3.94596475242523
"30TXR2",105,105,104,104,-1,34,39,393,15,24,359,0.679774284362793,48.0001213438828,3.78700024985581
"30TXR3",144,144,157,157,13,1193,58,31117,54,4,29924,0.685047645568848,47.2890641038637,3.65436182263789
"30TXR4",127,127,149,149,22,544,54,5354,40,14,4810,0.689015190322678,70.0056745448418,3.79318280849473
"30TXS1",140,140,125,125,-15,891,50,9180,33,17,8289,0.690065009056488,44.5066480744125,3.54927827156203
"30TXS2",157,157,155,155,-2,1134,47,4333,45,2,3199,0.675389468112839,30.3348751265351,3.29948572750781
"30TXS3",130,130,135,135,5,439,50,48230,28,22,47791,0.686015517411832,40.6880627876095,3.23355548094204
"30TXS4",135,135,137,137,2,2229,59,104499,48,11,102270,0.682468552259529,42.6983884863587,3.53011510403807
"30TXT1",137,137,126,126,-11,591,53,17691,44,9,17100,0.688222072341225,64.2786974504987,3.85171727601118
"30TXT2",148,148,157,157,9,672,53,17872,48,5,17200,0.691332847644121,43.5197438056239,3.41205633678001
"30TXT3",140,140,147,147,7,832,56,6634,49,7,5802,0.687168571082028,63.7130425543942,3.78135714036685
"30TXT4",129,129,141,141,12,280,53,28143,39,14,27863,0.707947995621345,38.6557371600963,3.47567972103965
"30TYK1",125,125,125,125,0,204,35,12793,28,7,12589,0.672719450391961,4.03622480290878,1.22751927174181
"30TYL1",124,124,139,139,15,5,19,11006,2,17,11001,0.719644852173634,17.7826262145219,2.56533651131484
"30TYM1",178,178,159,159,-19,585,25,9185,19,6,8600,0.719020571027483,11.5775817300674,1.90333760963343
"30TYM2",143,143,135,135,-8,150,16,7968,7,9,7818,0.720805213258073,15.074776274246,2.46643432264685
"30TYN1",147,147,142,142,-5,2596,73,10831,63,10,8235,0.724810608617076,14.7701825374789,1.50183918597867
"30TYN2",152,152,153,153,1,1339,46,13379,48,-2,12040,0.720847494748174,2.67960350134742,0.764745845001117
"30TYQ1",109,109,122,122,13,336,49,4335,32,17,3999,0.706921514400766,32.6852050551464,3.29647360331912
"30TYQ2",106,106,115,115,9,519,52,1688,39,13,1169,0.724284324937194,50.8483528117303,3.68196638560716
"30TYR1",133,133,134,134,1,307,55,4736,36,19,4429,0.697696328163147,29.7052739330921,3.21574010764773
"30TYR2",119,119,118,118,-1,365,54,4879,44,10,4514,0.701041690508525,43.3585920428,3.60123418663525
"30TYS1",123,123,144,144,21,1008,59,27402,48,11,26394,0.709259254763825,39.7751519478409,3.5048199046618
"30TYT1",143,143,144,144,1,1470,53,7953,51,2,6483,0.705243869261308,47.5174708729493,3.59424706573683
"30TYT2",146,146,156,156,10,879,59,10547,55,4,9668,0.724430841268952,40.3206595087062,3.38616931144661
"30UUA2",106,106,111,111,5,1062,39,3060,35,4,1998,0.366895384904815,7.97951362583316,1.84333377249063
"30UUA3",124,124,111,111,-13,1094,33,3577,36,-3,2483,0.366053917828728,10.366317465812,2.06117756012223
"30UUB4",111,111,100,100,-11,735,34,1521,33,1,786,0.389861132303874,8.93916222422364,1.88535590147697
"30UUC3",100,100,104,104,4,5665,37,2420,33,4,-3245,0.452777832746506,12.2592507045499,2.2025507676396
"30UUC4",128,128,119,119,-9,11734,37,4240,37,0,-7494,0.435183079443245,14.5852259648565,2.50804553567594
"30UUF1",97,97,101,101,4,198,21,3434,12,9,3236,0.434972197214762,7.2039711643804,1.73788242895816
"30UUF2",95,95,94,94,-1,422,22,1902,17,5,1480,0.416956553251847,16.7768273233028,2.48806799699428
"30UUG1",101,101,84,84,-17,559,21,1504,25,-4,945,0.501365756988525,5.64824445920163,1.45990153057524
"30UUG3",115,115,132,132,17,1624,30,31999,34,-4,30375,0.510700079859519,4.51546969295029,1.27837319425795
"30UUG4",137,137,115,115,-22,768,28,7911,31,-3,7143,0.50495695245677,6.65459269161879,1.71725131033763
"30UUU3",124,124,114,114,-10,305,43,7040,28,15,6735,0.537378843440566,22.8514427081526,2.97763879027955
"30UUU4",126,126,122,122,-4,184,32,536,32,0,352,0.59508337020874,36.0982603836343,3.5026691005511
"30UVA1",132,132,122,122,-10,2259,33,5701,36,-3,3442,0.400629489541911,9.6939207186132,1.83077944599468
"30UVB1",93,93,105,105,12,1005,32,1680,32,0,675,0.43293265807323,10.5228071818797,1.68640068908198
"30UVB2",115,115,106,106,-9,1369,38,3640,37,1,2271,0.406394830999527,11.0127597500365,2.07931222573141
"30UVB3",117,117,127,127,10,1441,37,5518,40,-3,4077,0.435434512602977,8.08885357310384,1.7959736938138
"30UVB4",124,124,126,126,2,1826,40,7554,38,2,5728,0.425874486381625,7.97598158704429,1.92165190655484
